"","2022-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","2022-01-03_to_2024-11-04_^BSESN"
"2023-11-09",-1.56937655615786,-4.43174678285098
"2023-11-10",-1.60005783735817,-4.3249025210779
"2023-11-13",-1.42048589225,-4.2818751756819
"2023-11-15",-0.698728698851536,-3.18801048080529
"2023-11-16",0,-2.73613611297662
"2023-11-17",0,-3.01290000294875
"2023-11-20",0,-3.21864957995993
"2023-11-21",0,-2.8123499997121
"2023-11-22",0,-2.67604439458902
"2023-11-23",0,-2.68404440994348
"2023-11-24",0,-2.75447420706063
"2023-11-28",0,-2.4535183404496
"2023-11-29",0,-1.38081835358812
"2023-11-30",0,-1.25326303788762
"2023-12-01",0,-0.526910498759525
"2023-12-04",0,0
"2023-12-05",0,0
"2023-12-06",0,0
"2023-12-07",0,0
"2023-12-08",0,0
"2023-12-11",0,0
"2023-12-12",0,0
"2023-12-13",0,0
"2023-12-14",0,0
"2023-12-15",0,0
"2023-12-18",0,0
"2023-12-19",0,0
"2023-12-20",-2.02985514673707,0
"2023-12-21",-1.77534388291957,0
"2023-12-22",-1.27470122257264,0
"2023-12-26",-0.765234771540568,0
"2023-12-27",0,0
"2023-12-28",0,0
"2023-12-29",-0.325544524580978,0
"2024-01-01",-0.435182764335851,0
"2024-01-02",-1.66999798796993,0
"2024-01-03",-1.76700285588269,0
"2024-01-04",-0.926164420549513,0
"2024-01-05",-0.918929355224263,0
"2024-01-08",-1.69018942379789,0
"2024-01-09",-1.18612159609064,0
"2024-01-10",-1.23033156707401,0
"2024-01-11",-1.0866552986554,0
"2024-01-12",-0.60507962248052,0
"2024-01-15",-0.0010854804028626,0
"2024-01-16",-0.214482252731851,-0.27160639703605
"2024-01-17",-1.38133056724697,-2.49179418091445
"2024-01-19",-0.627323471696628,-2.24294809647919
"2024-01-23",-3.4575742640939,-4.03310317976096
"2024-01-24",-1.80888228086076,-3.0924404446558
"2024-01-25",-1.90389857571819,-3.58290096810425
"2024-01-29",-0.130571021569692,-1.89063944210438
"2024-01-30",-1.18600967795039,-2.98390926609452
"2024-01-31",-0.348496704395396,-2.14901741632033
"2024-02-01",-0.942553967849913,-2.29467534593253
"2024-02-02",-0.302489750043655,-1.69417436078227
"2024-02-05",0,-2.17722567608621
"2024-02-06",0,-1.55717664940433
"2024-02-07",0,-1.60366579854637
"2024-02-08",-1.4701622372741,-2.59043027321737
"2024-02-09",-1.94039026209077,-2.36260115829006
"2024-02-12",-2.7167228854834,-3.07583025907692
"2024-02-13",-2.52522969647794,-2.41756489191111
"2024-02-14",-1.94025893841147,-2.05256857391629
"2024-02-15",-1.11478966213352,-1.74224543236038
"2024-02-16",0,-1.22912951973803
"2024-02-19",0,-0.845214700772912
"2024-02-20",0,-0.368943053052184
"2024-02-21",0,-0.961219655741397
"2024-02-22",0,-0.231420724539844
"2024-02-23",0,-0.252486120244821
"2024-02-26",0,-0.733422824945429
"2024-02-27",0,-0.317369153222746
"2024-02-28",0,-1.39517487829689
"2024-02-29",0,-1.12868551607959
"2024-03-01",0,0
"2024-03-04",0,0
"2024-03-05",0,0
"2024-03-06",0,0
"2024-03-07",0,0
"2024-03-11",-0.692895945394911,-0.832101204458713
"2024-03-12",-1.19041926217623,-0.609052408322541
"2024-03-13",-3.339171401748,-1.83150098329434
"2024-03-14",-2.75182925466623,-1.37899954143008
"2024-03-15",-3.96293745106621,-1.99132573819738
"2024-03-18",-3.24893449360213,-1.84967450158767
